metric,value
flits_requested,5000
delivered_flits,5000
flit_bytes,256
payload_bytes,236
flit_efficiency,0.921875
num_lanes,16
lane_rate_gtps,24
modulation,pam4
serialize_ui,64
active_ns,13334.2
throughput_gbps,707.955
capacity_gbps,768
bandwidth_utilization,0.921816
avg_latency_ns,3.41661
p95_latency_ns,3.41669
p99_latency_ns,3.41669
tx_new_flits,5000
tx_replay_flits,0
ack_count,4999
nak_count,0
stale_nak_count,0
replay_timeout_events,0
crc_fail_count,0
seq_fail_count,0
duplicate_drop_count,0
max_retry_buffer_occupancy,2
retry_buffer_full_events,0
symbol_error_rate,0
bit_error_rate,0
observed_flit_fail_rate,0
deskew_failures,0
extra_error_flits,0
cdr_lock_loss_count,0
integrity_errors,0
watchdog_fired,0
