metric,value
input_mode,internal
flits_requested,1500
requests_delivered,1500
responses_generated,1500
delivered_flits,1500
fdi_backpressure_events,0
completed_payload_bytes,354000
flit_bytes,256
payload_bytes,236
flit_efficiency,0.921875
memory_delay_ui,32
num_lanes,16
lane_rate_gtps,24
modulation,pam4
serialize_ui,64
active_ns,4016.2
throughput_gbps,705.144
capacity_gbps,768
bandwidth_utilization,0.918157
avg_latency_ns,16.9739
p50_latency_ns,18.8335
p95_latency_ns,18.8335
p99_latency_ns,18.8335
forward_avg_latency_ns,8.31979
forward_p95_latency_ns,8.75007
forward_p99_latency_ns,8.75007
reverse_avg_latency_ns,7.32073
reverse_p95_latency_ns,8.75007
reverse_p99_latency_ns,8.75007
forward_tx_new_flits,1500
reverse_tx_new_flits,1500
forward_tx_replay_flits,2
reverse_tx_replay_flits,2
forward_ack_count,1500
reverse_ack_count,1499
forward_nak_count,1
reverse_nak_count,1
forward_crc_fail_count,1
reverse_crc_fail_count,1
forward_integrity_errors,0
reverse_integrity_errors,0
tx_new_flits,3000
tx_replay_flits,4
ack_count,2999
nak_count,2
stale_nak_count,0
replay_timeout_events,0
crc_fail_count,2
seq_fail_count,2
duplicate_drop_count,0
max_retry_buffer_occupancy,2
retry_buffer_full_events,0
total_phy_frames,3004
symbol_error_rate,6.50175e-07
bit_error_rate,3.25087e-07
observed_flit_fail_rate,0.00133156
deskew_failures,0
extra_error_flits,0
cdr_lock_loss_count,0
integrity_errors,0
watchdog_fired,0
link_state,active
